protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
proposed,7,4,60,113.39034304674738,1.889839050779123,42,39,0.9285714285714286,0.2000273671578278,0.3333333333333333,0.0,0.21943323613826535,0.9919023328670509,30.781044089220586,0.6599142018731243,3
proposed,7,5,60,112.02246236449812,1.8670410394083021,37,34,0.918918918918919,0.2000273671578278,0.3333333333333333,0.0,0.2518082512841258,0.9863465895020914,32.05342302750968,0.6559142743897252,3
proposed,7,6,60,110.31088622200224,1.838514770366704,43,40,0.9302325581395349,0.2000273671578278,0.3333333333333333,0.0,0.22242578059901538,0.9785438420423084,33.21456527114427,0.6963128242665991,3
proposed,7,7,60,108.60250008926384,1.8100416681543974,39,36,0.9230769230769231,0.2000273671578278,0.3333333333333333,0.0,0.2537552454607494,0.9684162201088733,34.24615891330947,0.6904656476859651,3
proposed,7,8,60,107.0069008402242,1.7834483473370701,44,41,0.9318181818181818,0.2000273671578278,0.3333333333333333,0.0,0.22694442109416246,0.9583175949882338,35.13193510602418,0.7100213280083064,3
proposed,7,9,59,105.34639244231677,1.755773207371946,43,39,0.9069767441860465,0.2000273671578278,0.3333333333333333,0.0,0.25019669121021354,0.9623855752842626,35.85792462959223,0.6753271540953036,3
proposed,7,10,59,104.37207091582296,1.739534515263716,38,35,0.9210526315789473,1.000306699381429,1.6666666666666667,0.0,0.451097701560318,0.9594316199293583,36.412678195541844,0.6468146352402816,3
proposed,7,11,58,102.97210590003498,1.716201765000583,41,37,0.9024390243902439,1.000306699381429,1.6666666666666667,0.0,0.43765312371201315,0.9657147926432774,36.787447008744266,0.7097689368954232,3
proposed,7,12,57,101.85017833269588,1.697502972211598,40,36,0.9,1.000306699381429,1.6666666666666667,0.0,0.4537248875069824,0.9768705593864406,36.97632074113926,0.6330873345876281,3
proposed,7,13,57,100.83376868162853,1.6805628113604754,45,42,0.9333333333333333,1.000306699381429,1.6666666666666667,0.0,0.43404870197247697,0.9723808336480587,36.97632074113926,0.6683839059768422,3
proposed,7,14,57,99.73102879248488,1.6621838132080813,44,41,0.9318181818181818,1.000306699381429,1.6666666666666667,0.0,0.44627784602725057,0.9655999217164019,36.787447008744266,0.677705809899131,3
proposed,7,15,57,98.51981321675554,1.6419968869459256,45,42,0.9333333333333333,1.000306699381429,1.6666666666666667,0.0,0.44363546182468133,0.9580452374919602,36.412678195541844,0.7311624970719944,3
proposed,7,16,56,97.51087162191988,1.6251811936986647,37,33,0.8918918918918919,1.000306699381429,1.6666666666666667,0.0,0.48361318762064426,0.967978056840151,35.85792462959223,0.6456956638760732,3
proposed,7,17,56,96.76480468715388,1.612746744785898,39,36,0.9230769230769231,1.000306699381429,1.6666666666666667,0.0,0.4474619294270112,0.9657796705867516,35.13193510602418,0.6575369689797553,3
